,143766,,
841,100,118480,148535
36,225,118578,148529
144,2401,118504,148484
1296,36,118517,148500
256,1089,118459,148561
400,49,118505,148565
1089,1156,118566,148591
36,2304,118529,148687
1089,4,118487,148687
64,25,118596,148681
196,196,118650,148745
0,49,118565,148744
361,1444,118643,148719
441,16,118624,148815
49,225,118604,148846
484,441,118664,148774
49,1089,118708,148948
100,729,118722,148962
841,225,118798,148967
121,196,118857,149096
841,1849,118862,149131
441,121,118926,149140
16,361,118958,149300
625,484,118983,149378
529,676,119101,149406
841,1024,119203,149533
900,441,119227,149549
16,100,119248,149642
0,361,119297,149554
256,4,119212,149474
36,441,119175,149518
900,729,119173,149406
9,361,119175,149265
64,49,119175,149344
9,1,119162,149351
225,729,119133,149297
729,400,119121,149336
1,441,119242,149312
4,841,119115,149292
784,49,119121,149269
64,324,119151,149315
1,729,119108,149277
576,25,119125,149273
64,529,119146,149230
961,1225,119082,149232
361,4,119093,149215
81,784,119155,149273
729,484,119078,149238
784,961,119130,149271
961,900,119113,149375
196,4,119137,149348
169,1296,119189,149332
784,169,119244,149424
36,0,119137,149480
0,9,119297,149517
169,961,119375,149616
256,0,119438,149679
4,100,119567,149706
324,256,119550,149871
484,961,119572,149919
361,16,119681,149879
676,2500,119655,150010
1296,81,119692,150099
9,25,119730,150076
81,729,119772,150190
36,1225,119826,150256
625,289,119878,150267
1225,900,119851,150381
100,25,119901,150377
289,2116,119890,150317
729,81,119902,150413
16,1444,119951,150425
2116,1225,119936,150385
289,49,119916,150435
484,1369,120079,150482
289,64,120027,150512
0,1156,119970,150540
2601,841,120112,150550
144,1225,120030,150613
121,361,120032,150597
121,81,120158,150515
25,324,120008,150650
1444,1225,119984,150593
1,576,120100,150536
144,25,120030,150640
64,121,120060,150649
144,196,120120,150567
1296,3364,119968,150617
625,576,120009,150615
324,169,120033,150537
441,225,119851,150568
121,64,119953,150552
225,324,120033,150409
9,16,119882,150486
256,1600,119862,150370
1156,121,119878,150182
36,100,119749,150454
169,1521,119701,150111
676,9,119733,150003
25,441,119618,149993
729,484,119692,149944
0,256,119679,149828
16,1296,119626,149972
961,144,119609,149853
121,400,119644,149759
625,441,119611,149777
16,16,119547,149817
361,1600,119554,149723
361,49,119569,149729
324,289,119501,149705
81,1849,119555,149728
1369,196,119561,149627
529,1600,119547,149747
576,1,119594,149752
121,64,119634,149716
289,1681,119602,149836
169,1089,119709,149907
676,64,119625,149889
484,625,119729,149937
225,4,119670,149981
289,1024,119687,149904
144,121,119698,149896
25,1681,119762,149950
2916,2401,119621,149942
625,9,119777,149911
1,361,119679,149992
121,100,119695,149925
225,81,119662,149905
36,256,119712,149944
0,441,119788,149926
9,2209,119673,149837
2116,400,119655,149895
81,100,119788,149838
324,576,119634,149774
64,100,119609,149892
121,1936,119615,149845
1225,121,119663,149857
25,49,119639,149889
144,169,119615,149809
16,16,119634,149818
100,1089,119624,149863
676,49,119571,149826
1,9,119498,149763
196,1369,119527,149751
961,169,119547,149833
361,1156,119579,149791
576,25,119539,149856
441,1764,119581,149860
196,676,119569,149887
841,256,119569,149873
400,900,119639,149898
961,676,119633,149884
81,49,119555,149922
16,400,119621,149922
