,139332,,
36,729,115244,139317
529,225,115169,139284
64,1,115227,139247
196,729,114978,139157
64,121,114592,138592
4,576,113786,137476
676,441,113155,136681
49,9,112621,135902
121,1024,111973,134950
1024,484,111119,134049
9,169,110787,133971
25,961,110592,134102
625,169,110440,133843
144,100,110118,133377
324,529,109854,133019
16,196,109627,132672
1,484,109540,132432
400,16,109470,132164
36,144,109106,131638
36,1444,109567,131071
1521,484,108642,131382
484,784,108586,131270
324,9,108736,131655
36,100,109838,133052
64,576,111182,134951
0,1225,108753,136044
2704,4096,112455,136601
1089,529,113043,137474
1936,1936,113579,138198
3721,6241,114065,138815
2809,196,114372,139211
324,1849,114562,139439
2601,2025,114376,139156
196,361,114629,139334
9,1849,114760,139384
729,121,114930,139404
9,2500,114773,139273
2601,225,114496,138671
196,256,114224,138225
100,1225,113832,137686
676,169,113569,137179
121,324,113176,136685
729,1089,112875,136204
361,0,112766,135910
9,100,112349,135567
196,1764,112112,135219
2601,2500,112019,134878
121,1849,111641,134602
2916,1521,111514,134391
625,100,111478,134144
64,361,111368,134330
225,0,111503,134350
64,1024,111493,134286
1024,441,111331,134261
441,441,111391,134091
64,36,111320,133946
1296,4624,111225,133940
2116,25,111212,133972
2209,5329,111320,133782
4624,1369,111213,133909
289,256,111287,133900
256,441,111272,133745
324,25,111145,133870
676,729,111079,133614
64,64,111028,133575
529,1296,111063,133635
676,144,111109,133705
625,1369,111239,133801
289,64,111267,133887
9,324,111280,133992
1444,1849,111330,134093
0,3025,111309,134080
1369,289,111293,134098
2304,3600,111428,134153
2704,1024,111412,134312
1225,2704,111610,134608
121,2916,111918,134911
1764,49,112010,135177
1156,1936,112153,135423
841,64,112352,135781
36,169,112427,135951
16,100,112524,136081
16,841,112663,136277
1024,961,112649,136325
729,529,112711,136395
529,256,112700,136513
9,16,112627,136618
0,289,112793,136583
289,16,112836,136824
121,81,112926,136889
484,900,112917,136894
81,49,112899,136938
100,225,112834,136865
49,324,112894,136785
1681,3025,112808,136833
3364,2116,112867,136865
484,100,112795,136900
49,4,112945,137109
0,196,113091,137211
49,144,113094,137345
25,225,113132,137421
196,9,113128,137506
0,4,113128,137525
169,484,113097,137554
900,2025,113276,137531
2601,1369,113199,137639
196,25,113221,137669
4,81,113324,137731
25,625,113217,137836
576,225,113341,137899
196,225,113450,138003
169,324,113395,138218
441,196,113600,138378
100,36,113732,138470
0,16,113708,138719
196,256,113888,138871
81,1,113991,138931
256,841,113946,139118
49,484,114081,139294
400,25,113969,139426
25,121,114237,139112
25,121,114379,139763
361,36,114370,139785
676,2304,114454,139112
1444,729,114480,140073
441,100,114588,140194
289,1225,114694,140243
729,121,114695,140448
324,841,114760,140556
169,81,114816,140662
169,36,114798,140808
144,961,114966,140887
784,441,114980,140971
841,841,114963,141018
289,144,115029,141145
100,9,115035,141233
64,324,115097,141315
36,2025,115198,141434
625,625,115126,141461
1225,324,115203,141516
121,196,115241,141684
1024,2500,115178,141848
1936,841,115431,141949
729,900,115620,142219
1225,1681,115581,142217
529,64,115578,142093
16,1681,115568,142065
729,256,115518,141950
324,121,115528,141913
576,225,115503,141956
576,3721,115532,141994
1600,25,115575,141975
225,25,115554,142087
0,4,115540,142076
121,841,115622,142121
784,400,115599,142192
1444,2916,115683,142263
1296,100,115632,142255
25,256,115667,142229
0,576,115771,142268
169,81,115695,142329
4,144,115784,142477
169,196,115860,142534
484,900,115821,142638
841,144,115858,142744
4,4,116008,142773
441,900,115856,142966
484,225,115987,143042
100,81,116117,143124
729,2116,116144,143337
1089,121,116288,143525
100,289,116416,143617
729,1521,116338,143837
289,400,116444,143944
81,361,116416,143941
4,841,116321,144062
1521,1369,116591,144265
4,2209,116644,144206
1681,9,116568,144034
121,1764,116679,144321
1849,961,116701,144253
441,81,116637,144257
100,289,116670,144294
100,2601,116671,144418
1521,0,116753,144257
324,441,116810,144661
361,196,116942,144839
1600,5329,117040,144955
3364,576,117123,145109
841,2304,117176,145203
1296,121,117211,145256
0,25,117229,145352
625,1369,117365,145391
361,0,117264,145443
25,289,117343,145510
196,1,117408,145708
36,0,117470,145799
256,361,117533,145893
0,324,117698,146174
169,4,117520,146283
196,324,117864,146456
9,121,117926,146584
36,729,117520,146649
441,121,117973,146683
100,36,117970,146782
25,100,117974,146840
25,484,118022,146831
169,36,117994,146900
1089,2304,118056,146946
625,16,117970,147109
0,256,118035,147131
729,1089,118097,147216
400,0,118062,147320
121,1225,118169,147423
676,81,118185,146881
36,81,118275,147000
1,441,118298,147068
400,25,118357,147125
2025,5625,118334,147112
3364,529,118436,147192
25,4,118471,147241
4,1,118482,147288
49,49,118482,147309
361,1936,118444,147332
2025,1681,118476,147276
1089,289,118537,147341
900,3364,118491,147279
1444,9,118538,147239
144,49,118532,147253
49,16,118491,147234
64,361,118525,147212
25,324,118476,147255
196,1,118553,147360
169,841,118625,147351
676,289,118584,147420
144,121,118651,147466
1024,2809,118652,147433
784,169,118622,147489
961,1024,118716,147510
81,729,118623,147540
841,100,118663,147601
196,1024,118782,147571
729,225,118682,147606
100,9,118681,147594
0,0,118797,147569
16,16,118620,147604
576,3364,118667,147548
2401,484,118735,147513
81,9,118635,147558
169,1024,118681,147542
676,196,118765,147483
289,100,118620,147642
121,484,118756,147686
196,0,118755,147553
441,1764,118713,147765
784,1,118767,147726
16,0,118755,147750
64,576,118788,147853
361,0,118839,147912
121,1156,118957,147832
256,256,118845,147886
169,25,118874,147948
144,196,118892,147910
16,81,118879,147950
36,1225,118892,147953
1024,169,118896,147906
169,484,118907,147982
841,1089,118869,148062
676,225,118952,148110
484,841,118986,148082
144,49,118980,148220
16,121,119085,148221
841,1600,119023,148276
324,100,119036,148317
100,2601,119097,148388
2304,400,119016,148358
1,361,119062,148351
100,100,119068,148392
81,0,119036,148387
36,144,119107,148392
121,289,119212,148458
196,25,119110,148451
1,289,119131,148458
144,0,119189,148479
144,1156,119100,148491
2025,2809,119165,148414
784,169,119064,148436
256,16,119082,148456
16,4,119144,148360
25,100,119135,148379
196,729,119142,148426
484,64,119151,148384
625,2116,119085,148386
676,49,119198,148418
144,1,119150,148411
225,1225,119151,148479
441,49,119203,148462
9,625,119104,148448
49,400,119126,148446
400,36,119211,148417
121,784,119093,148410
289,25,119114,148451
