169,324,108305,135984
529,256,108446,136094
16,1,108682,136405
100,1024,108918,136788
1156,225,109287,137318
81,361,110191,138716
4,196,110718,139665
169,81,111185,140374
4,4,111052,140178
100,484,110745,139641
676,529,110990,139904
49,361,111150,140260
361,81,111373,140363
1024,1225,111344,140070
900,676,111058,139794
324,81,110813,139150
4,0,110690,138972
225,625,110653,139293
289,81,110852,139680
400,1521,111011,139868
2304,2500,111006,140201
1369,400,111115,140329
361,324,111011,140517
289,900,111379,140117
1521,1296,111500,141153
16,1936,111629,141185
3969,2116,111642,140117
256,0,111715,141565
4,9,111779,141772
289,225,111777,141875
144,1849,111835,142105
1024,36,111875,142225
2116,4356,111927,142288
2916,1600,112036,142478
961,400,112159,142668
196,36,112167,142734
0,100,112272,142801
1089,1369,112328,142999
361,256,112193,143006
1369,2500,112448,143128
1024,4,112508,143277
576,441,112193,143366
16,25,112522,143427
36,576,112609,143520
100,225,112648,143636
1089,1444,112634,143553
625,121,112770,143688
16,4,112743,143746
16,729,112764,143794
484,1,112807,143977
49,441,112822,143929
144,49,112824,143977
729,2401,112845,144038
2116,841,112926,144115
144,0,112968,144212
0,36,112953,144307
0,4,113065,144376
256,1089,112951,144496
900,529,113057,144461
144,0,113133,144492
4,16,113014,144573
121,256,113066,144592
324,529,113100,144552
676,289,113086,144678
4,100,113140,144693
1,64,113186,144615
225,529,113151,144773
784,625,113204,144887
400,289,113295,144820
196,36,113290,144743
484,3025,113318,144984
2116,9,113303,144990
529,1156,113335,144743
1600,1600,113298,145119
729,225,113362,145184
324,324,113391,145150
441,1600,113367,145242
2304,1444,113473,145322
841,361,113499,145356
4,1,113482,145410
1,36,113588,145522
64,25,113532,145535
400,625,113596,145546
784,900,113598,145659
289,25,113576,145653
16,121,113611,145731
529,529,113683,145799
100,36,113576,145766
49,9,113642,145791
169,0,113748,145867
441,1024,113697,145899
784,289,113711,145819
49,121,113689,145829
256,64,113680,145890
0,25,113730,145872
169,169,113721,145856
676,1225,113703,145843
196,25,113680,145750
16,0,113668,145752
16,1,113717,145710
324,1600,113642,145702
1521,400,113608,145616
9,0,113689,145564
16,25,113561,145613
169,0,113616,145533
49,25,113675,145476
9,144,113564,145546
100,49,113643,145603
169,196,113709,145524
100,144,113568,145577
0,441,113635,145653
9,1681,113681,145631
4096,2916,113667,145601
961,484,113658,145636
256,1,113668,145712
196,36,113709,145623
81,289,113703,145642
225,16,113672,145731
9,484,113697,145741
2401,2809,113686,145744
1764,1444,113814,145758
1024,484,113768,145773
400,729,113713,145784
1024,784,113845,145860
169,16,113707,145924
400,625,113817,145949
676,576,113866,145853
16,289,113792,146043
529,625,113910,146044
625,529,113944,146022
484,441,113902,146140
36,121,113906,146215
16,100,113958,146132
225,441,113837,146149
841,1156,113917,146252
1681,1600,113961,146155
576,225,113843,146127
324,144,113921,146227
1,1,113966,146229
49,169,113986,146189
4,169,113962,146229
100,4,113966,146204
9,225,113972,146186
121,9,113919,146257
1,25,114002,146235
9,1,113942,146171
1,225,113983,146208
529,441,113951,146211
625,1296,113965,146216
1521,1024,113937,146119
529,324,113954,146230
100,0,113943,146229
9,256,114017,146240
576,400,114054,146282
64,1,113943,146289
9,9,114042,146257
25,441,114014,146303
1024,900,114070,146317
169,49,113978,146264
16,256,114098,146382
1225,1681,114076,146318
625,0,114074,146302
36,9,113976,146338
144,441,114037,146321
841,961,114040,146274
361,9,113986,146260
196,0,114114,146258
225,256,114023,146261
225,169,113988,146199
49,16,114092,146152
144,289,113967,146223
169,81,113991,146191
100,256,114072,146067
529,441,114004,146142
81,9,114017,146099
225,676,114077,146038
484,196,113996,146171
36,9,114025,146120
1,64,114045,146035
100,100,113993,146124
361,784,113975,146100
729,361,114001,145983
100,144,114079,146018
576,900,114000,146044
529,289,114071,146052
100,1,114068,146080
16,25,113985,146092
25,16,114043,146116
4,9,114048,146066
4,256,114062,146168
900,1156,114077,146177
729,225,114074,146169
1,49,114096,146158
4,81,114159,146258
100,225,114068,146234
484,256,114089,146183
4,100,114121,146250
324,400,114088,146290
49,1764,114160,146280
2601,1936,114179,146379
1156,484,114088,146355
169,144,114193,146276
225,324,114183,146440
625,1024,114210,146388
1225,1225,114184,146311
729,81,114197,146457
0,4,114244,146377
36,16,114217,146417
36,100,114204,146450
256,1156,114282,146514
1296,729,114228,146495
484,121,114217,146459
16,81,114299,146478
1,289,114219,146526
729,900,114206,146535
256,9,114308,146474
64,49,114191,146553
169,400,114234,146590
361,121,114333,146546
9,169,114201,146621
196,324,114270,146662
841,1225,114303,146616
1024,529,114226,146662
256,196,114315,146691
121,36,114364,146656
81,324,114278,146709
400,81,114366,146714
0,25,114402,146645
576,2025,114295,146684
2209,1156,114319,146667
289,4,114297,146628
4,0,114297,146583
36,400,114228,146633
625,225,114230,146633
49,1,114249,146481
9,9,114217,146521
289,529,114184,146480
484,324,114211,146440
100,64,114110,146351
256,324,114166,146375
100,81,114125,146219
225,196,114088,146137
196,196,114017,146092
36,0,114116,146022
36,256,113976,145921
100,1,114014,145935
4,169,113988,145923
529,784,113959,145789
441,324,113920,145819
529,441,113905,145829
169,169,113931,145672
36,81,113864,145697
36,121,113881,145726
576,1024,113914,145712
1156,841,113850,145653
289,100,113898,145699
16,9,113876,145657
0,64,113824,145633
49,81,113924,145684
324,484,113834,145790
256,225,113826,145715
400,576,113979,145690
676,324,113875,145837
25,144,113893,145819
361,169,113959,145748
25,0,113828,145857
9,0,113867,145767
121,144,113959,145696
4,4,113883,145848
144,121,113875,145801
225,441,113891,145810
169,36,113861,145848
16,16,113875,145770
4,256,113962,145850
961,1089,113964,145831
784,576,113957,145988
81,64,113964,145910
0,361,113981,145894
441,169,113963,146021
36,0,114009,145977
4,0,113932,145971
16,100,113973,145977
576,1521,113917,146041
2704,3600,113902,145999
1936,361,113944,145994
9,1,113999,146000
9,9,113886,145931
4,36,113931,145938
36,25,113915,145934
25,4,113883,145931
64,225,113920,145879
100,225,113948,145929
1849,3025,113888,145979
2116,961,113898,145932
529,484,113864,145931
400,81,113870,145976
49,361,113856,145884
324,0,113859,145900
25,900,113903,145875
1521,1089,113857,145874
441,16,113864,145916
121,121,113905,145862
9,4,113851,145832
1,1,113782,145790
16,81,113848,145710
441,676,113685,145564
169,4,113675,145558
16,4,113778,145394
169,324,113709,145435
361,324,113649,145374
16,64,113691,145332
9,529,113626,145175
1225,2209,113621,145252
2025,729,113691,145160
196,144,113597,145118
256,441,113532,145091
729,729,113562,145142
144,0,113521,145033
0,1,113548,145029
1,49,113555,145035
100,289,113525,144996
576,289,113520,145029
4,9,113555,145044
1,1,113540,145017
81,256,113498,145001
0,289,113608,144982
25,36,113515,145071
16,81,113503,145007
289,484,113550,144976
625,676,113460,145043
100,100,113527,145040
1,361,113591,144952
900,1156,113435,145009
1024,1024,113465,144956
1600,1936,113493,144914
1296,529,113433,144973
169,36,113496,144981
25,121,113507,144861
256,256,113480,144989
169,4,113397,145079
81,16,113507,145008
25,25,113564,145025
0,25,113603,145186
100,9,113573,145192
256,400,113613,145025
81,64,113565,145158
169,49,113557,145173
100,441,113522,145131
361,144,113547,145187
256,144,113594,145206
49,400,113487,145081
16,441,113579,145225
1444,1936,113650,145260
1296,729,113579,145248
841,961,113611,145224
841,784,113600,145342
900,576,113616,145282
225,144,113675,145284
196,144,113646,145315
36,0,113596,145298
4,100,113661,145281
4,169,113594,145319
