,143847,,
4,289,118177,143473
121,25,117624,142965
289,729,117361,142439
676,441,117149,142091
49,1,117015,142971
289,1369,116927,141856
529,1,117029,141765
169,1521,117352,142971
2209,1936,117945,143051
441,81,119385,144809
100,4,120718,146375
324,1024,121904,148049
225,441,123253,149966
2116,2209,124374,151738
1156,1521,125460,153651
4096,4096,126259,154875
484,1521,126679,155269
4489,1521,126728,155129
9,529,126688,154707
64,256,126593,154300
9,841,126144,153565
2601,3721,124961,151561
1681,441,124047,150464
676,676,123282,149327
81,2025,122687,148463
784,81,122161,147758
256,49,121941,147275
36,324,121767,147101
1444,1600,121866,147214
121,225,122014,147455
1764,5329,122225,147832
2704,9,122374,148155
121,64,122346,148146
400,900,122268,147920
1936,3481,121930,147744
3249,3364,121739,147442
3721,2809,121700,147283
900,16,121649,147758
484,1225,121742,147538
324,0,121796,147605
4,25,121924,147811
625,1156,121956,147891
0,1600,121945,147890
900,484,121946,147811
5776,10404,121779,147813
5329,289,121699,147752
81,196,121653,147609
81,100,121647,147740
169,1,121804,147947
625,3025,121857,147984
2601,1849,121911,148122
484,144,121927,148086
289,9,121905,148082
16,9,121936,148170
625,1089,121900,148130
441,225,121912,148279
441,676,122050,148473
676,576,122284,148739
4,1024,122338,148874
144,676,122564,149200
1024,484,122652,149383
100,0,122682,149434
1,169,122631,149414
144,0,122622,149331
169,961,122716,149246
400,9,122388,149087
169,169,122365,149090
625,2304,122716,149062
729,0,122396,149080
25,1089,122360,149121
900,1,122339,149132
196,16,122399,149120
729,1521,122319,149129
9,1444,122339,149167
1089,1,122334,149093
441,676,122343,149129
64,64,122270,149169
9,676,122310,149082
484,4,122230,149136
4,361,122309,149142
1089,1024,122359,149135
169,49,122343,149236
1089,3136,122381,149300
2025,225,122388,149284
1,169,122370,149308
900,1444,122410,149273
256,625,122417,149228
900,1,122332,149200
576,441,122362,149164
49,81,122382,149142
729,1849,122318,149118
1225,289,122431,149056
121,100,122278,149029
16,4,122296,148965
1,36,122266,148762
16,484,122162,148860
4,576,122090,148732
289,16,122202,148630
289,441,122096,148757
144,49,122102,148784
1296,3844,122163,148669
1089,64,122109,148905
576,1024,122197,148919
400,49,122274,148854
196,121,122157,148951
2116,4356,122210,148937
841,64,122204,148853
81,121,122158,148936
784,676,122174,148945
25,961,122204,148922
0,1936,122213,148926
2304,1296,122180,148929
576,1,122158,148939
4,625,122153,148926
441,49,122107,148891
169,324,122100,148894
81,121,122117,148800
441,625,122035,148837
144,36,122073,148814
225,144,122064,148805
121,1296,122028,148875
1089,400,122078,148871
225,256,122106,148862
196,4,122081,148926
49,4,122054,148962
4,256,122054,148966
25,2401,122097,148968
2704,841,122140,149024
961,1444,122076,149012
225,121,122160,149083
289,64,122165,149179
25,361,122101,149131
196,36,122122,149116
784,2601,122195,149169
1225,16,122217,149177
81,16,122195,149154
289,1089,122185,149242
25,1156,122217,149298
400,441,122284,149326
961,256,122304,149423
36,81,122355,149557
900,2601,122424,149541
1369,36,122492,149656
49,1089,122506,149719
1681,784,122631,149770
1,529,122603,149937
36,441,122775,150035
196,0,122821,150195
49,169,122902,150413
225,484,123023,150483
49,256,123069,150601
0,1444,123087,150649
2116,676,123199,150649
1,4,123078,150561
36,64,123049,150525
64,729,123103,150501
25,900,122966,150569
1156,289,122985,150444
400,1600,123160,150427
2116,784,123011,150483
9,196,123024,150456
196,1936,123076,150376
1444,625,122944,150400
676,289,122983,150350
16,9,122981,150217
25,121,122821,150239
256,1764,122865,150186
121,2116,122850,150026
2500,100,122782,150196
625,1849,122848,150202
784,9,122857,150042
49,2025,122779,150096
2809,841,122724,150095
25,16,122744,150037
900,1600,122666,150077
225,9,122707,150054
49,196,122709,149933
81,16,122661,150032
1,169,122624,150023
64,1600,122661,150043
1444,169,122674,150063
0,0,122673,150159
144,400,122760,150189
49,16,122799,150175
49,361,122750,150274
256,324,122814,150315
841,1156,122834,150335
1296,1521,122871,150416
576,1,122958,150470
64,784,123030,150601
225,64,123133,150797
169,49,123289,150968
1,0,123251,151044
100,400,123297,151092
81,100,123333,151253
361,529,123242,151240
441,324,123534,151390
1369,4096,123678,151613
841,1936,123738,151784
1936,289,123860,151899
2500,1369,123928,152064
225,169,123751,152179
900,1849,124125,152194
1089,256,124205,152378
256,529,124243,152470
324,225,124299,152485
36,0,124297,152605
729,2304,124308,152687
529,100,124450,152750
64,100,124428,152860
576,729,124559,152931
1,841,124631,152933
256,100,124629,153095
144,49,124685,153062
16,4,124699,153113
169,676,124684,153213
196,16,124737,153175
1,0,124723,153184
4,25,124693,153197
225,361,124856,153216
900,1369,124734,153234
256,4,124715,153136
121,900,124757,153100
1156,729,124654,153067
289,484,124641,152977
2809,5041,124656,152849
1225,121,124509,152910
225,25,124481,152707
361,361,124516,152709
100,1764,124448,152624
1521,169,124573,152738
121,484,124494,152652
9,169,124507,152637
81,1681,124492,152634
1369,441,124494,152599
196,64,124380,152437
361,2116,124310,152452
1225,0,124292,152392
36,1849,124259,152265
2401,625,124280,152333
0,256,124256,152345
36,64,124306,152347
0,289,124290,152427
16,529,124320,152369
1764,2809,124313,152357
1156,0,124265,152360
1,289,124200,152297
169,9,124211,152259
0,64,124168,152284
16,25,124192,152286
784,1089,124188,152283
196,4225,124182,152243
2500,36,124276,152244
64,1,124188,152170
196,784,124128,152205
529,169,124186,152160
1024,2401,124090,152097
576,25,124052,152113
16,49,124129,152088
121,36,124037,152153
81,256,124059,152140
81,1089,124165,152086
1089,1089,124062,152229
900,441,124110,152203
961,1849,124216,152190
484,9,124200,152314
49,441,124220,152393
196,1,124307,152318
256,625,124194,152436
16,289,124299,152503
324,169,124369,152508
324,361,124269,152595
100,9,124354,152628
9,36,124418,152544
324,2500,124329,152669
1681,144,124416,152718
225,625,124418,152735
529,400,124355,152839
121,9,124652,153050
256,729,124762,153089
169,9,124733,152800
36,121,124798,153183
256,361,124846,153194
9,225,124829,153103
81,100,124847,153259
121,9,124841,153299
0,9,124814,153103
64,1,124852,153267
81,36,124917,153214
324,1369,124873,153109
1225,676,124791,153077
289,169,124755,152975
784,1521,124688,152834
225,196,124627,152831
0,529,124688,152826
225,49,124626,152807
16,121,124706,152826
841,1600,124742,152857
484,1,124724,152784
121,1521,124688,152873
1849,900,124777,152830
169,0,124701,152840
196,900,124700,152851
225,9,124764,152838
36,484,124707,152822
576,256,124705,152841
16,400,124761,152899
16,576,124676,152934
441,1,124841,152927
16,16,124896,153012
196,225,124676,153050
4,49,124814,153003
121,1156,124745,153011
841,169,124819,152895
256,529,124626,152781
784,784,124547,152684
36,361,124466,152611
81,225,124406,152397
729,1296,124354,152384
1024,121,124220,152328
25,49,124049,152004
4,196,123844,151804
100,25,123740,151536
4,900,123593,151379
3249,3136,123370,151226
2401,2209,123303,151120
676,9,123263,150989
144,1024,123251,151037
676,4,123256,151001
1024,3136,123227,150972
729,289,123120,150889
441,36,123249,150861
49,81,123109,150858
0,225,123067,150832
529,196,123115,150824
169,841,123034,150850
676,784,123023,150754
784,225,123132,150742
441,1849,123021,150848
784,4,122986,150746
100,1024,123066,150710
484,9,122868,150716
1,121,122853,150650
676,900,122894,150604
441,225,122750,150647
841,1444,122838,150609
529,16,122794,150483
121,441,122691,150619
36,484,122791,150594
484,0,122789,150488
49,625,122694,150547
576,576,122733,150539
441,36,122724,150513
64,289,122743,150522
9,64,122799,150620
49,625,122833,150522
625,324,122767,150550
36,0,122765,150494
