,111990,140059,
9,676,111506,139353
729,144,111237,138943
49,289,110950,138541
81,1600,110787,138385
784,1,110524,138178
0,361,110483,137893
289,9,110326,137577
4,4,110360,137254
841,2209,110202,136759
225,900,110006,136621
484,400,110157,136822
2304,2304,110421,137239
400,16,110923,137894
16,400,111536,138645
196,9,111922,139152
4,16,111941,139152
256,900,112006,139061
1089,961,111926,139010
196,81,111987,139022
0,529,112124,139124
225,16,112264,139250
16,1,112351,139402
121,729,112342,139287
441,16,112260,139091
625,2809,112073,138972
961,36,111939,138752
25,1521,111785,138574
1936,729,111694,138512
25,1089,111966,138401
16,1764,111498,138254
1024,0,111379,138263
196,441,111966,138182
9,676,111236,138138
400,16,111164,138217
121,1600,111114,138200
729,0,111114,138208
0,324,111097,138186
1369,2025,111114,138108
64,1296,110933,138082
576,49,110853,138043
196,64,110731,138028
49,64,110697,137970
169,196,110782,138028
0,49,110759,138002
289,1936,110748,138091
1681,1296,110706,138152
576,121,110766,138248
1444,6084,110801,138260
1764,676,110824,138438
676,100,110860,138491
841,1225,110850,138541
289,36,110893,138581
9,529,110949,138669
81,49,110893,138731
4,36,110877,138835
289,900,110969,138905
256,49,110911,138941
25,841,110902,138933
81,576,111004,138952
625,144,110896,139002
4,81,110883,138999
49,196,110953,139012
1156,1225,110834,139055
81,64,110840,139106
169,256,111036,139116
100,2116,110914,139338
1156,4,110982,139394
529,3969,111117,139386
3136,529,111019,139601
324,2601,111075,139587
36,5776,111088,139448
8281,3844,110763,139393
2116,1089,110708,139020
81,169,110407,138479
900,1024,109933,138071
25,484,109694,137507
121,25,110407,137070
9,9,109163,136894
36,0,108993,136560
64,361,108894,136241
1225,1225,108477,136138
144,0,108294,135903
49,256,108209,135682
361,289,108138,135752
0,196,108316,135950
441,4624,108536,136143
2500,1,108926,135695
225,4,108169,137070
625,2025,109446,137302
729,0,109592,137471
9,196,109731,137813
9,81,109961,138002
16,25,110050,138175
900,3364,110214,138520
841,400,110416,138763
529,4,110505,138893
36,100,110660,139076
25,81,110751,139304
256,3136,110806,139421
1600,16,110848,139583
49,100,111082,139727
169,121,111205,139879
100,1089,111309,140161
25,4096,111420,140396
3136,289,111551,140545
100,361,111664,140805
289,169,111840,141034
16,9,111845,141186
441,2304,111957,141418
484,529,112071,141635
625,0,112115,141733
529,1156,111916,141814
289,4,112345,142063
49,400,112154,142131
1936,3844,112434,142262
676,1225,112514,142397
3136,1600,112154,142454
484,400,112550,142437
1764,3249,112477,142457
1024,36,112485,142385
49,576,112447,142328
4096,7225,112450,142388
3600,900,112485,142390
1296,3249,112469,142495
2704,676,112573,142630
4,25,112652,142861
25,25,112780,142975
64,81,112866,143227
4,1,112972,143427
289,961,113075,143527
2500,4624,113149,143752
576,1225,113206,143925
2500,2209,113277,144029
1849,1089,113327,144193
729,576,113436,144294
1024,2809,113259,144426
4096,2025,113537,144598
49,400,113630,144709
441,144,113697,144837
25,49,113691,144905
841,2116,113718,145005
625,1,113773,145070
25,81,113759,145149
0,64,113908,145199
900,2401,113888,145323
1225,196,113935,145388
169,121,114005,145512
100,256,113986,145598
324,529,114036,145656
2704,5929,114147,145790
2809,256,114119,145962
256,784,114215,145961
121,289,114341,146092
729,121,114219,146223
100,121,114383,146313
49,144,114436,146278
196,2025,114336,146433
2025,676,114455,146439
0,256,114485,146433
256,3249,114407,146508
1849,64,114512,146534
9,49,114536,146464
0,225,114453,146570
81,16,114472,146586
841,5476,114539,146445
2704,25,114417,146574
1225,5476,114441,146535
3721,49,114539,146400
576,1849,114342,146390
4489,5476,114326,146277
2209,361,114299,146090
49,25,114158,146407
529,2025,114149,145943
289,625,114084,145803
0,2304,114003,146049
1369,49,114031,145757
784,529,114016,145620
16,576,113972,146049
0,1156,113956,145653
121,1600,113968,145619
1681,9,114006,145637
400,81,113993,145709
1225,4761,114061,145712
2500,361,114073,145770
169,225,114078,145856
81,4,114228,145951
576,1444,114165,145976
64,784,114221,146122
841,361,114278,146164
361,625,114310,146205
441,25,114296,146260
169,400,114391,146300
64,1444,114412,146316
1764,1521,114398,146414
784,144,114488,146484
169,441,114495,146587
49,121,114581,146644
64,1225,114562,146757
900,144,114584,146806
36,289,114673,146819
0,361,114751,146962
49,49,114676,146907
121,1369,114721,146944
1369,676,114740,147048
169,100,114690,147024
289,144,114818,147106
81,484,114849,147223
1,1296,114910,147230
1936,1024,114930,147300
25,196,114997,147425
49,1369,114907,147427
784,49,114955,147336
196,1296,114961,147393
3025,3969,114955,147397
841,196,114945,147312
400,36,114929,147284
196,441,114926,147374
4,400,114994,147472
16,121,115010,147441
16,9,115029,147374
4,81,115009,147614
676,784,115086,147604
16,256,115087,147604
4,729,114997,147683
