2748,1274,1623076
2297,657,431649
1853,47,2209
1530,-432,186624
1087,-773,597529
905,-1001,1002001
879,-1105,1221025
782,-1083,1172889
1196,-945,893025
1800,-645,416025
2447,-185,34225
3063,329,108241
3595,789,622521
843,790,624100
1321,141,19881
1901,-406,164836
2495,-309,95481
3148,207,42849
3626,799,638401
3867,1221,1490841
3308,1301,1692601
2764,971,942841
2302,390,152100
1871,-197,38809
1550,-655,429025
1116,-968,937024
921,-1166,1359556
891,-1240,1537600
792,-1185,1404225
1181,-1013,1026169
1786,-678,459684
2416,-183,33489
3002,364,132496
3561,850,722500
3882,1206,1454436
3433,1316,1731856
1855,973,946729
2471,330,108900
3088,5,25
3612,210,44100
3886,620,384400
3358,841,707281
2808,655,429025
2334,162,26244
1914,-385,148225
1551,-827,683929
1116,-1133,1283689
923,-1321,1745041
890,-1372,1882384
795,-1287,1656369
1147,-1086,1179396
1753,-728,529984
2400,-208,43264
2924,364,132496
3531,870,756900
3883,1252,1567504
3464,1397,1951609
2879,1186,1406596
2382,703,494209
1993,177,31329
3560,-26,676
3879,301,90601
3416,720,518400
2846,712,506944
2349,291,84681
1944,-264,69696
1579,-734,538756
1146,-1057,1117249
942,-1250,1562500
855,-1307,1708249
815,-1230,1512900
1082,-1032,1065024
1692,-685,469225
2360,-177,31329
2843,389,151321
3502,890,792100
3850,1269,1610361
3520,1420,2016400
2922,1222,1493284
2416,741,549081
2029,200,40000
1641,-229,52441
1211,-523,273529
968,-716,512656
2843,-596,355216
2361,-92,8464
1932,260,67600
1562,147,21609
1129,-222,49284
925,-604,364816
811,-841,707281
876,-878,770884
1099,-734,538756
1689,-419,175561
2346,51,2601
2800,582,338724
3501,1059,1121481
3853,1432,2050624
3528,1583,2505889
2927,1376,1893376
2424,871,758641
2040,293,85849
1630,-183,33489
1214,-531,281961
971,-774,599076
903,-905,819025
823,-921,848241
969,-851,724201
1597,-656,430336
2270,-287,82369
941,-15,225
814,-160,25600
876,-468,219024
1070,-557,310249
3848,-115,13225
3419,820,672400
2893,1457,2122849
2367,1360,1849600
1960,853,727609
1577,310,96100
1145,-103,10609
927,-378,142884
876,-517,267289
795,-543,294849
1051,-486,236196
1662,-315,99225
2349,6,36
2783,390,152100
3482,724,524176
3868,978,956484
3551,1062,1127844
2954,845,714025
2427,381,145161
2048,-107,11449
1641,-454,206116
1226,-643,413449
982,-722,521284
907,-710,504100
816,-625,390625
955,-507,257049
1575,-325,105625
1162,-138,19044
954,-152,23104
905,-362,131044
811,-585,342225
1051,-693,480249
1641,-585,342225
2330,-213,45369
2763,310,96100
3481,842,708964
3854,1316,1731856
3551,1599,2556801
2952,1532,2347024
2442,1148,1317904
2062,655,429025
1630,213,45369
1240,-149,22201
987,-453,205209
905,-688,473344
846,-842,708964
951,-922,850084
1562,-878,770884
2232,-637,405769
2656,-259,67081
3416,144,20736
3803,534,285156
1035,528,278784
1629,-51,2601
2302,-437,190969
2731,-153,23409
3464,498,248004
3808,1166,1359556
3533,1548,2396304
2942,1450,2102500
2446,936,876096
2077,260,67600
1678,-365,133225
1272,-880,774400
1023,-1277,1630729
927,-1527,2331729
861,-1606,2579236
958,-1524,2322576
1559,-1251,1565001
2200,-741,549081
2636,-89,7921
3359,557,310249
3768,1132,1281424
3597,1507,2271049
3002,1519,2307361
2270,1148,1317904
2681,666,443556
3406,475,225625
3776,639,408321
3532,814,662596
2943,660,435600
2461,153,23409
2105,-473,223729
1660,-1004,1008016
1288,-1372,1882384
1038,-1570,2464900
954,-1588,2521744
906,-1436,2062096
968,-1158,1340964
1551,-755,570025
2200,-195,38025
2619,432,186624
3340,990,980100
3727,1415,2002225
3624,1613,2601769
3017,1450,2102500
2231,915,837225
2634,289,83521
3357,9,81
3736,163,26569
3581,414,171396
2991,413,170569
2522,94,8836
2143,-348,121104
1721,-718,515524
1356,-958,917764
1082,-1076,1157776
955,-1082,1170724
936,-987,974169
911,-821,674041
1500,-576,331776
2123,-195,38025
2587,270,72900
3293,700,490000
3704,1041,1083681
3677,1212,1468944
3066,1086,1179396
2589,664,440896
2202,144,20736
1755,-280,78400
1455,-552,304704
1100,-687,471969
2985,-505,255025
2505,50,2500
2141,459,210681
1706,393,154449
1357,38,1444
1069,-362,131044
921,-661,436921
983,-796,633616
936,-778,605284
1496,-622,386884
2111,-288,82944
2572,175,30625
3261,650,422500
3659,1068,1140624
3688,1334,1779556
3068,1309,1713481
2590,964,929296
2205,477,227529
1756,34,1156
1481,-295,87025
1113,-519,269361
957,-668,446224
973,-738,544644
